'	@quote@
'	@quote@
kusāvatī	proper noun
,	@comma@
ānanda	proper noun
,	@comma@
rājadhānī	noun
sattahi	numeral
pākārehi	noun
parikkhittā	past participle
ahosi	verb
.	@point@

eko	numeral
pākāro	noun
sovaṇṇamayo	adjective
,	@comma@
eko	numeral
rūpiyamayo	adjective
,	@comma@
eko	numeral
veḷuriyamayo	adjective
,	@comma@
eko	numeral
phalikamayo	adjective
,	@comma@
eko	numeral
lohitaṅkamayo	adjective
,	@comma@
eko	numeral
masāragallamayo	adjective
,	@comma@
eko	numeral
sabbaratanamayo	adjective
.	@point@

kusāvatiyā	proper noun
,	@comma@
ānanda	proper noun
,	@comma@
rājadhāniyā	noun
catunnaṃ	numeral
vaṇṇānaṃ	adjective
dvārāni	noun
ahesuṃ	verb
.	@point@

rājā	noun
,	@comma@
ānanda	proper noun
,	@comma@
mahāsudassano	proper noun
imāya	demonstrative pronoun
dutiyāya	ordinal adjective
iddhiyā	noun
samannāgato	adjective
ahosi	verb
.	@point@

rājā	noun
,	@comma@
ānanda	proper noun
,	@comma@
mahāsudassano	proper noun
imāya	demonstrative pronoun
tatiyāya	ordinal adjective
iddhiyā	noun
samannāgato	adjective
ahosi	verb
.	@point@

rūpiyamayassa	adjective
kūṭāgārassa	noun
dvāre	noun
sovaṇṇamayo	adjective
tālo	noun
ṭhito	past participle
ahosi	verb
,	@comma@
tassa	pronoun
sovaṇṇamayo	adjective
khandho	noun
,	@comma@
rūpiyamayāni	adjective
pattāni	noun
ca	coordinative conjunciton
phalāni	noun
ca	coordinative conjunciton
.	@point@

taṃ	personal pronoun
devo	noun
pakudhaṃ	proper noun
kaccāyanaṃ	proper noun
payirupāsatu	verb
.	@point@

taṃ	pronoun
devo	noun
bhagavantaṃ	noun
payirupāsatu	verb
.	@point@

natthi	verb
hetu	noun
,	@comma@
natthi	verb
paccayo	noun
sattānaṃ	noun
visuddhiyā	noun
,	@comma@
ahetū	noun
apaccayā	noun
sattā	noun
visujjhanti	verb
.	@point@

so	personal pronoun
taṃ	pronoun
dhammaṃ	noun
sutvā	absolutive
tathāgate	noun
saddhaṃ	noun
paṭilabhati	verb
.	@point@

so	personal pronoun
tena	pronoun
saddhāpaṭilābhena	noun
samannāgato	past participle
iti	quotation participle
paṭisañcikkhati	verb
'	@quote@
sambādho	noun
gharāvāso	noun
rajopatho	noun
,	@comma@
abbhokāso	noun
pabbajjā	noun
.	@point@

naccagītavāditavisūkadassanā	noun
paṭivirato	past participle
hoti	verb
.	@point@

mālāgandhavilepanadhāraṇamaṇḍanavibhūsanaṭṭhānā	noun
paṭivirato	past participle
hoti	verb
.	@point@

uccāsayanamahāsayanā	noun
paṭivirato	past participle
hoti	verb
.	@point@

upāsakaṃ	noun
maṃ	personal pronoun
bhagavā	noun
dhāretu	verb
ajjatagge	adverb
pāṇupetaṃ	past participle
saraṇaṃ	noun
gataṃ	past participle
.	@point@

evaṃ	demonstrative adverb
me	personal pronoun
sutaṃ	past participle
ekaṃ	numeral
samayaṃ	noun
bhagavā	noun
kosambiyaṃ	proper noun
viharati	verb
ghositārāme	proper noun
.	@point@

adhivāsesi	verb
bhagavā	noun
tuṇhībhāvena	noun
.	@point@

upāsakaṃ	noun
maṃ	personal pronoun
bhavaṃ	noun
gotamo	proper noun
dhāretu	verb
ajjatagge	noun
pāṇupetaṃ	past participle
saraṇaṃ	noun
gataṃ	past participle
adhivāsetu	verb
ca	coordinative conjunciton
me	personal pronoun
bhavaṃ	noun
gotamo	proper noun
svātanāya	noun
bhattaṃ	noun
saddhiṃ	adverb
bhikkhusaṅghenā	noun
ti	quotation participle
.	@point@

tassa	pronoun
te	personal pronoun
mayaṃ	personal pronoun
ariyaṃ	adjective
cakkavattivattaṃ	noun
puṭṭhā	past passive participle
byākarissāmā	verb
ti	quotation participle
.	@point@

gahetvā	absolutive
rañño	noun
khattiyassa	noun
muddhābhisittassa	past passive participle
dassesuṃ	verb
'	@quote@
ayaṃ	demonstrative pronoun
,	@comma@
deva	noun
,	@comma@
puriso	noun
paresaṃ	adjective
adinnaṃ	past passive participle
theyyasaṅkhātaṃ	past passive participle
ādiyī	verb
ti	quotation participle
.	@point@

kiṃ	interrogative pronoun
kusalaṃ	noun
kareyyāma	verb
.	@point@

asītivassasahassāyukesu	adjective
,	@comma@
bhikkhave	noun
,	@comma@
manussesu	noun
imasmiṃ	demonstrative pronoun
jambudīpe	proper noun
caturāsītinagarasahassāni	noun
bhavissanti	verb
ketumatīrājadhānīpamukhāni	adjective
.	@point@

attamanā	adjective
te	personal pronoun
bhikkhū	noun
bhagavato	noun
bhāsitaṃ	noun
abhinandunti	verb
.	@point@

ayaṃ	demonstrative pronoun
paṭhamā	ordinal adjective
ādesanavidhā	noun
.	@point@

ayaṃ	demonstrative pronoun
dutiyā	ordinal adjective
ādesanavidhā	noun
.	@point@

ayaṃ	pronoun
tatiyā	ordinal adjective
ādesanavidhā	noun
.	@point@

ayaṃ	demonstrative pronoun
paṭhamā	ordinal adjective
dassanasamāpatti	noun
.	@point@

atikkamma	absolutive
ca	coordinative conjunciton
purisassa	noun
chavimaṃsalohitaṃ	noun
aṭṭhiṃ	noun
paccavekkhati	verb
.	@point@

ayaṃ	demonstrative pronoun
dutiyā	ordinal adjective
dassanasamāpatti	noun
.	@point@

purisassa	noun
